PartitionKey,RowKey,Timestamp,EarlyCloseTimeEST,EarlyCloseTimeEST@type,IsClosed,IsClosed@type,MarketHoliday,MarketHoliday@type,ScheduleDate,ScheduleDate@type
20200101,20200101,2019-12-11T18:32:09.766Z,,Edm.String,true,Edm.Boolean,NewYearsDay,Edm.String,2020-01-01T00:00:00.000Z,Edm.DateTime
20200120,20200120,2019-12-11T18:32:09.771Z,,Edm.String,true,Edm.Boolean,MLKDay,Edm.String,2020-01-20T00:00:00.000Z,Edm.DateTime
20200217,20200217,2019-12-11T18:32:09.768Z,,Edm.String,true,Edm.Boolean,WashingtonsBirthday,Edm.String,2020-02-17T00:00:00.000Z,Edm.DateTime
20200410,20200410,2019-12-11T18:32:09.771Z,,Edm.String,true,Edm.Boolean,GoodFriday,Edm.String,2020-04-10T00:00:00.000Z,Edm.DateTime
20200525,20200525,2019-12-11T18:32:09.770Z,,Edm.String,true,Edm.Boolean,MemorialDay,Edm.String,2020-05-25T00:00:00.000Z,Edm.DateTime
20200703,20200703,2019-12-11T18:32:09.768Z,,Edm.String,true,Edm.Boolean,IndependenceDay,Edm.String,2020-07-03T00:00:00.000Z,Edm.DateTime
20200907,20200907,2019-12-11T18:32:09.776Z,,Edm.String,true,Edm.Boolean,LaborDay,Edm.String,2020-09-07T00:00:00.000Z,Edm.DateTime
20201126,20201126,2019-12-11T18:32:09.790Z,,Edm.String,true,Edm.Boolean,ThanksgivingDay,Edm.String,2020-11-26T00:00:00.000Z,Edm.DateTime
20201127,20201127,2019-12-11T18:32:09.780Z,13:00:00,Edm.String,false,Edm.Boolean,ThanksgivingDay,Edm.String,2020-11-27T00:00:00.000Z,Edm.DateTime
20201224,20201224,2019-12-11T18:32:09.773Z,13:00:00,Edm.String,false,Edm.Boolean,ChristmasDay,Edm.String,2020-12-24T00:00:00.000Z,Edm.DateTime
20201225,20201225,2019-12-11T18:32:09.778Z,,Edm.String,true,Edm.Boolean,ChristmasDay,Edm.String,2020-12-25T00:00:00.000Z,Edm.DateTime
20210101,20210101,2019-12-11T18:32:09.810Z,,Edm.String,true,Edm.Boolean,NewYearsDay,Edm.String,2021-01-01T00:00:00.000Z,Edm.DateTime
20210118,20210118,2019-12-11T18:32:09.802Z,,Edm.String,true,Edm.Boolean,MLKDay,Edm.String,2021-01-18T00:00:00.000Z,Edm.DateTime
20210215,20210215,2019-12-11T18:32:09.793Z,,Edm.String,true,Edm.Boolean,WashingtonsBirthday,Edm.String,2021-02-15T00:00:00.000Z,Edm.DateTime
20210402,20210402,2019-12-11T18:32:09.784Z,,Edm.String,true,Edm.Boolean,GoodFriday,Edm.String,2021-04-02T00:00:00.000Z,Edm.DateTime
20210531,20210531,2019-12-11T18:32:09.798Z,,Edm.String,true,Edm.Boolean,MemorialDay,Edm.String,2021-05-31T00:00:00.000Z,Edm.DateTime
20210704,20210704,2019-12-11T18:32:09.810Z,,Edm.String,true,Edm.Boolean,IndependenceDay,Edm.String,2021-07-04T00:00:00.000Z,Edm.DateTime
20210906,20210906,2019-12-11T18:32:09.803Z,,Edm.String,true,Edm.Boolean,LaborDay,Edm.String,2021-09-06T00:00:00.000Z,Edm.DateTime
20211125,20211125,2019-12-11T18:32:09.805Z,,Edm.String,true,Edm.Boolean,ThanksgivingDay,Edm.String,2021-11-25T00:00:00.000Z,Edm.DateTime
20211126,20211126,2019-12-11T18:32:09.792Z,13:00:00,Edm.String,false,Edm.Boolean,ThanksgivingDay,Edm.String,2021-11-26T00:00:00.000Z,Edm.DateTime
20211224,20211224,2019-12-11T18:32:09.785Z,,Edm.String,true,Edm.Boolean,ChristmasDay,Edm.String,2021-12-24T00:00:00.000Z,Edm.DateTime
20211225,20211225,2019-12-11T18:32:09.794Z,,Edm.String,true,Edm.Boolean,ChristmasDay,Edm.String,2021-12-25T00:00:00.000Z,Edm.DateTime
