PartitionKey,RowKey,Timestamp,IsEnabled,IsEnabled@type,Limit,Limit@type,Minimum,Minimum@type,OperationType,OperationType@type,Ordinal,Ordinal@type,RunByTimeEST,RunByTimeEST@type,ServiceID,ServiceID@type,ServiceType,ServiceType@type,StartTimeEST,StartTimeEST@type,WorkflowID,WorkflowID@type,ParameterID,ParameterID@type
493853015594238005,MarketOrderService:MarketSell,2021-02-28T20:51:41.790Z,true,Edm.Boolean,10,Edm.Int32,1,Edm.Int32,MarketSell,Edm.String,2,Edm.Int32,16:30:00,Edm.String,493853015594238001,Edm.Int64,MarketOrderService,Edm.String,16:00:00,Edm.String,493853015594238005,Edm.Int64,,
493853015594238005,StockScreener:FetchScreenData,2021-02-28T20:51:41.791Z,true,Edm.Boolean,5,Edm.Int32,1,Edm.Int32,FetchScreenData,Edm.String,1,Edm.Int32,09:38:00,Edm.String,493853015594237955,Edm.Int64,StockScreener,Edm.String,09:36:00,Edm.String,493853015594238005,Edm.Int64,493853015594237997,Edm.Int64
